sensors/logging_button,2015-03-29 06:24:28.351,START
sensors/imu,2015-03-29 06:24:29.499,0.0,0.0,0.0,0.0,0.0,0.0,169.69,-6.31,-3.42
sensors/imu,2015-03-29 06:24:29.516,0.0,0.0,0.0,0.0,0.0,0.0,169.69,-6.32,-3.43
sensors/steering,2015-03-29 06:24:29.518,4514.0
sensors/brake,2015-03-29 06:24:29.518,'brakeV0.1',false

sensors/steering,2015-03-29 06:24:29.534,4514.0
sensors/encoder,2015-03-29 06:24:29.537,0.0,0.0,0.0,0.0
sensors/imu,2015-03-29 06:24:29.550,0.0,0.0,0.0,0.0,0.0,0.0,169.68,-6.33,-3.45
sensors/brake,2015-03-29 06:24:29.550,'brakeV0.1',false

sensors/imu,2015-03-29 06:24:29.567,0.0,0.0,0.0,0.0,0.0,0.0,169.68,-6.34,-3.45
sensors/steering,2015-03-29 06:24:29.567,4514.0
sensors/imu,2015-03-29 06:24:29.583,0.0,0.0,0.0,0.0,0.0,0.0,169.67,-6.34,-3.44
sensors/brake,2015-03-29 06:24:29.583,'brakeV0.1',false

sensors/steering,2015-03-29 06:24:29.599,4514.0
sensors/imu,2015-03-29 06:24:29.616,0.0,0.0,0.0,0.0,0.0,0.0,169.66,-6.34,-3.44
sensors/brake,2015-03-29 06:24:29.616,'brakeV0.1',false

sensors/imu,2015-03-29 06:24:29.632,0.0,0.0,0.0,0.0,0.0,0.0,169.66,-6.33,-3.44
sensors/steering,2015-03-29 06:24:29.632,4514.0
sensors/encoder,2015-03-29 06:24:29.640,0.0,0.0,0.0,0.0
sensors/imu,2015-03-29 06:24:29.649,0.0,0.0,0.0,0.0,0.0,0.0,169.65,-6.31,-3.42
sensors/brake,2015-03-29 06:24:29.649,'brakeV0.1',false

sensors/steering,2015-03-29 06:24:29.666,4514.0
sensors/imu,2015-03-29 06:24:29.682,0.0,0.0,0.0,0.0,0.0,0.0,169.64,-6.32,-3.41
sensors/brake,2015-03-29 06:24:29.682,'brakeV0.1',false

sensors/steering,2015-03-29 06:24:29.698,4514.0
sensors/imu,2015-03-29 06:24:29.698,0.0,0.0,0.0,0.0,0.0,0.0,169.64,-6.33,-3.42
sensors/imu,2015-03-29 06:24:29.715,0.0,0.0,0.0,0.0,0.0,0.0,169.65,-6.33,-3.43
sensors/brake,2015-03-29 06:24:29.715,'brakeV0.1',false

sensors/steering,2015-03-29 06:24:29.731,4514.0
sensors/encoder,2015-03-29 06:24:29.742,0.0,0.0,0.0,0.0
sensors/brake,2015-03-29 06:24:29.747,'brakeV0.1',false

sensors/imu,2015-03-29 06:24:29.751,0.0,0.0,0.0,0.0,0.0,0.0,169.64,-6.31,-3.43
sensors/imu,2015-03-29 06:24:29.751,0.0,0.0,0.0,0.0,0.0,0.0,169.64,-6.31,-3.43
sensors/steering,2015-03-29 06:24:29.763,4514.0
sensors/imu,2015-03-29 06:24:29.768,0.0,0.0,0.0,0.0,0.0,0.0,169.64,-6.3,-3.45
sensors/brake,2015-03-29 06:24:29.779,'brakeV0.1',false

sensors/steering,2015-03-29 06:24:29.796,4514.0
sensors/brake,2015-03-29 06:24:29.796,'brakeV0.1',false

sensors/imu,2015-03-29 06:24:29.800,0.0,0.0,0.0,0.0,0.0,0.0,169.64,-6.31,-3.46
sensors/imu,2015-03-29 06:24:29.816,0.0,0.0,0.0,0.0,0.0,0.0,169.65,-6.32,-3.46
sensors/steering,2015-03-29 06:24:29.828,4514.0
sensors/brake,2015-03-29 06:24:29.828,'brakeV0.1',false

sensors/encoder,2015-03-29 06:24:29.831,0.0,0.0,0.0,0.0
sensors/imu,2015-03-29 06:24:29.833,0.0,0.0,0.0,0.0,0.0,0.0,169.64,-6.31,-3.45
sensors/steering,2015-03-29 06:24:29.845,4514.0
sensors/imu,2015-03-29 06:24:29.850,0.0,0.0,0.0,0.0,0.0,0.0,169.64,-6.32,-3.46
sensors/brake,2015-03-29 06:24:29.861,'brakeV0.1',false

sensors/steering,2015-03-29 06:24:29.878,4514.0
sensors/imu,2015-03-29 06:24:29.883,0.0,0.0,0.0,0.0,0.0,0.0,169.65,-6.32,-3.46
sensors/brake,2015-03-29 06:24:29.894,'brakeV0.1',false

